id,x,y,z
748,0.64247,0.66192,0.06901
749,0.68239,0.67848,0.06618
750,0.56193,0.6713,0.00209
751,0.65868,0.65464,0.016
752,0.51186,0.77581,-0.00965
753,0.66214,0.7486,-0.01034
754,0.67727,0.69708,-0.01416
755,0.51821,0.66119,0.03577
756,0.68736,0.70802,0.03499
757,0.6117,0.63577,0.06756
758,0.61663,0.78365,-0.02513
759,0.58146,0.73517,-0.02551
760,0.61381,0.7413,0.17149
761,0.52477,0.76713,0.07204
762,0.54665,0.82352,0.06116
763,0.60907,0.79396,0.07692
764,0.57929,0.71917,0.17157
765,0.50049,0.75463,0.10412
766,0.60294,0.7054,0.1432
767,0.61462,0.74789,0.09313
768,0.53849,0.72182,0.1667
769,0.52807,0.71913,0.10291
770,0.49104,0.79898,0.07832
771,0.5694,0.75642,0.07238
772,0.6001,0.83621,0.0723
773,0.51492,0.73388,0.13514
774,0.63175,0.72985,0.12769
775,0.5774,0.72891,0.11108
776,0.6427,0.81039,0.09848
777,0.64553,0.75932,0.1475
778,0.63762,0.7841,0.12434
779,0.55796,0.69927,0.12967
780,0.5258,0.78351,0.14416
781,0.54817,0.83554,0.16212
782,0.55424,0.8478,0.13533
783,0.50519,0.80644,0.13922
784,0.53269,0.83968,0.11132
785,0.53119,0.80139,0.17035
786,0.58319,0.83354,0.15988
787,0.55529,0.81267,0.12083
788,0.55382,0.78339,0.13458
789,0.59607,0.8288,0.13685
790,0.53144,0.80738,0.12226
791,0.52216,0.8354,0.14102
792,0.57304,0.84311,0.11671
793,0.59577,0.79842,0.17037
794,0.55848,0.78146,0.17777
795,0.53031,0.80174,0.17023
796,0.57279,0.78622,0.15132
797,0.57451,0.80616,0.13281
798,0.54982,0.83208,0.15942
799,0.56569,0.81113,0.17675
